subject,experiment,condition,"goal (0 = none, 1 = easy, 2 = hard) ","feedback (0 = none, 1 = yes)","reward (0 = no, 1 = time, 2 = cash)"
1138,3,time,2,1,1
1139,3,none,2,1,0
1140,3,cash,2,1,2
1143,3,cash,2,1,2
1144,3,none,2,1,0
1146,3,cash,2,1,2
1147,3,none,2,1,0
1148,3,time,2,1,1
1150,3,none,2,1,0
1151,3,time,2,1,1
1152,3,cash,2,1,2
1153,3,none,2,1,0
1154,3,time,2,1,1
1155,3,cash,2,1,2
1156,3,none,2,1,0
1157,3,time,2,1,1
1158,3,cash,2,1,2
1159,3,none,2,1,0
1160,3,time,2,1,1
1161,3,cash,2,1,2
1162,3,none,2,1,0
1163,3,time,2,1,1
1164,3,cash,2,1,2
1165,3,none,2,1,0
1166,3,time,2,1,1
1167,3,cash,2,1,2
1168,3,none,2,1,0
1170,3,cash,2,1,2
1171,3,none,2,1,0
1172,3,time,2,1,1
1173,3,cash,2,1,2
1174,3,none,2,1,0
1175,3,time,2,1,1
1176,3,cash,2,1,2
1177,3,none,2,1,0
1179,3,cash,2,1,2
1180,3,none,2,1,0
1181,3,time,2,1,1
1182,3,cash,2,1,2
1183,3,none,2,1,0
1184,3,time,2,1,1
1185,3,cash,2,1,2
1187,3,time,2,1,1
1188,3,cash,2,1,2
1189,3,none,2,1,0
1190,3,time,2,1,1
1191,3,cash,2,1,2
1192,3,none,2,1,0
1193,3,time,2,1,1
1194,3,cash,2,1,2
1195,3,none,2,1,0
1196,3,time,2,1,1
1197,3,cash,2,1,2
1198,3,none,2,1,0
1199,3,time,2,1,1
1200,3,cash,2,1,2
1201,3,none,2,1,0
1202,3,time,2,1,1
1203,3,cash,2,1,2
1204,3,none,2,1,0
1205,3,time,2,1,1
1206,3,cash,2,1,2
1207,3,none,2,1,0
1208,3,time,2,1,1
1209,3,cash,2,1,2
1210,3,none,2,1,0
1211,3,time,2,1,1
1212,3,cash,2,1,2
1213,3,none,2,1,0
1214,3,time,2,1,1
1215,3,cash,2,1,2
1216,3,none,2,1,0
1217,3,time,2,1,1
1218,3,cash,2,1,2
1219,3,none,2,1,0
1220,3,time,2,1,1
1221,3,cash,2,1,2
1222,3,none,2,1,0
1223,3,time,2,1,1
1224,3,cash,2,1,2
1225,3,none,2,1,0
1226,3,time,2,1,1
1227,3,cash,2,1,2
1228,3,none,2,1,0
1229,3,time,2,1,1
1230,3,cash,2,1,2
1231,3,none,2,1,0
1232,3,time,2,1,1
1233,3,cash,2,1,2
1234,3,none,2,1,0
1235,3,time,2,1,1
1236,3,cash,2,1,2
1237,3,time,2,1,1
1238,3,time,2,1,1
1239,3,time,2,1,1
1240,3,none,2,1,0
1241,3,cash,2,1,2
1242,3,cash,2,1,2
1243,3,none,2,1,0
1244,3,time,2,1,1
1245,3,cash,2,1,2
1246,3,none,2,1,0
